里程(公里),路線,總里程,里程,地標名稱,分段第一行,分段第二行,左下角備註,右下角備註
16.4,CM300,500,321,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.5,CM300,500,322,,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.6,CM300,500,323,白石山,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.7,CM300,500,324,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.8,CM300,500,325,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.9,CM300,500,326,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17,CM300,500,327,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.1,CM300,500,328,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.2,CM300,500,329,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.3,CM300,500,330,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.4,CM300,500,331,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.5,CM300,500,332,,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.6,CM300,500,333,萬里池,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.7,CM300,500,334,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.8,CM300,500,335,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.9,CM300,500,336,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18,CM300,500,337,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.1,CM300,500,338,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.2,CM300,500,339,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.3,CM300,500,340,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.4,CM300,500,341,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.5,CM300,500,342,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.6,CM300,500,343,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.7,CM300,500,344,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.8,CM300,500,345,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
18.9,CM300,500,346,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19,CM300,500,347,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.1,CM300,500,348,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.2,CM300,500,349,,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.3,CM300,500,350,屯鹿池,萬里池(333)⇨屯鹿池(350),➡屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.4,CM300,500,351,屯鹿池營地,萬里池(333)⇨屯鹿池(350),⇨屯鹿池營地(351)➡屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.5,CM300,500,352,,萬里池(333)⇨屯鹿池(350),⇨屯鹿池營地(351)➡屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.6,CM300,500,353,,萬里池(333)⇨屯鹿池(350),⇨屯鹿池營地(351)➡屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.7,CM300,500,354,屯鹿妹池,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.8,CM300,500,355,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.9,CM300,500,356,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20,CM300,500,357,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.1,CM300,500,358,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.2,CM300,500,359,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.3,CM300,500,360,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.4,CM300,500,361,,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.5,CM300,500,362,安東軍山岔路,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.6,CM300,500,363,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.7,CM300,500,364,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.8,CM300,500,365,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
20.9,CM300,500,366,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21,CM300,500,367,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.1,CM300,500,368,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.2,CM300,500,369,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.3,CM300,500,370,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.4,CM300,500,371,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.5,CM300,500,372,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.6,CM300,500,373,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.7,CM300,500,374,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.8,CM300,500,375,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
21.9,CM300,500,376,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22,CM300,500,377,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.1,CM300,500,378,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.2,CM300,500,379,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.3,CM300,500,380,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.4,CM300,500,381,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.5,CM300,500,382,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.6,CM300,500,383,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.7,CM300,500,384,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.8,CM300,500,385,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
22.9,CM300,500,386,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23,CM300,500,387,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.1,CM300,500,388,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.2,CM300,500,389,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.3,CM300,500,390,,屯鹿妹池(354)⇨安東軍山岔路(362),➡第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.4,CM300,500,391,第二獵寮,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.5,CM300,500,392,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.6,CM300,500,393,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.7,CM300,500,394,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.8,CM300,500,395,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
23.9,CM300,500,396,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24,CM300,500,397,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.1,CM300,500,398,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.2,CM300,500,399,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.3,CM300,500,400,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.4,CM300,500,401,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.5,CM300,500,402,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.6,CM300,500,403,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.7,CM300,500,404,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.8,CM300,500,405,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
24.9,CM300,500,406,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25,CM300,500,407,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.1,CM300,500,408,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.2,CM300,500,409,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.3,CM300,500,410,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.4,CM300,500,411,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.5,CM300,500,412,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.6,CM300,500,413,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.7,CM300,500,414,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.8,CM300,500,415,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
25.9,CM300,500,416,,第二獵寮(391)➡金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26,CM300,500,417,金杏真路岔路,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.1,CM300,500,418,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.2,CM300,500,419,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.3,CM300,500,420,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.4,CM300,500,421,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.5,CM300,500,422,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.6,CM300,500,423,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.7,CM300,500,424,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.8,CM300,500,425,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
26.9,CM300,500,426,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27,CM300,500,427,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.1,CM300,500,428,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.2,CM300,500,429,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.3,CM300,500,430,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.4,CM300,500,431,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.5,CM300,500,432,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.6,CM300,500,433,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.7,CM300,500,434,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.8,CM300,500,435,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
27.9,CM300,500,436,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28,CM300,500,437,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.1,CM300,500,438,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.2,CM300,500,439,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.3,CM300,500,440,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.4,CM300,500,441,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.5,CM300,500,442,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.6,CM300,500,443,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.7,CM300,500,444,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.8,CM300,500,445,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
28.9,CM300,500,446,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29,CM300,500,447,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.1,CM300,500,448,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.2,CM300,500,449,,第二獵寮(391)⇨金杏真路岔路(417)➡,溪底岔路(450)⇨第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.3,CM300,500,450,溪底岔路,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.4,CM300,500,451,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.5,CM300,500,452,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.6,CM300,500,453,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.7,CM300,500,454,南溪岔路,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.8,CM300,500,455,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
29.9,CM300,500,456,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30,CM300,500,457,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.1,CM300,500,458,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.2,CM300,500,459,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.3,CM300,500,460,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.4,CM300,500,461,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.5,CM300,500,462,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.6,CM300,500,463,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.7,CM300,500,464,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.8,CM300,500,465,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
30.9,CM300,500,466,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31,CM300,500,467,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.1,CM300,500,468,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.2,CM300,500,469,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.3,CM300,500,470,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.4,CM300,500,471,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.5,CM300,500,472,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.6,CM300,500,473,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.7,CM300,500,474,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
